Gene	Uniprot	Breast cancer	Cervical cancer	Colorectal cancer	Endometrial cancer	Glioma	Head and neck cancer	Liver cancer	Lung cancer	Melanoma	Ovarian cancer	Pancreatic cancer	Prostate cancer	Renal cancer	Stomach cancer	Testis cancer	Thyroid cancer	Urothelial cancer
AHCTF1	Q8WYP5	unprognostic (3.10e-1)	unprognostic (1.10e-2)	unprognostic (2.20e-1)	unprognostic (6.11e-2)	unprognostic (7.96e-2)	unprognostic (2.42e-1)	unprognostic (3.12e-2)	unprognostic (8.50e-2)	unprognostic (2.06e-3)	unprognostic (2.53e-2)	unprognostic (7.12e-2)	unprognostic (2.39e-1)	prognostic unfavourable (3.49e-8)	unprognostic (7.65e-2)	unprognostic (1.51e-1)	unprognostic (2.91e-2)	unprognostic (8.52e-2)
PUS1	Q9Y606	unprognostic (2.72e-1)	unprognostic (9.13e-2)	unprognostic (1.81e-1)	unprognostic (2.69e-2)	unprognostic (8.12e-3)	unprognostic (8.07e-2)	unprognostic (4.57e-3)	unprognostic (7.34e-2)	unprognostic (1.01e-1)	unprognostic (3.34e-1)	unprognostic (2.06e-1)	unprognostic (5.30e-2)	prognostic unfavourable (3.49e-8)	unprognostic (1.80e-3)	unprognostic (8.06e-2)	unprognostic (8.59e-2)	unprognostic (1.56e-2)
CCDC14	Q49A88	unprognostic (7.41e-3)	unprognostic (5.18e-2)	unprognostic (1.86e-1)	unprognostic (1.41e-1)	unprognostic (9.45e-2)	prognostic favourable (5.27e-4)	prognostic unfavourable (4.82e-4)	unprognostic (6.83e-2)	unprognostic (5.50e-2)	unprognostic (2.12e-1)	unprognostic (3.76e-1)	prognostic unfavourable (4.76e-4)	prognostic unfavourable (3.50e-8)	unprognostic (2.14e-2)	unprognostic (2.86e-1)	unprognostic (9.37e-2)	prognostic favourable (2.72e-5)
TYMP	P19971	unprognostic (7.02e-3)	unprognostic (1.00e-1)	unprognostic (3.61e-1)	prognostic favourable (4.34e-5)	unprognostic (7.60e-2)	unprognostic (1.16e-2)	unprognostic (2.40e-1)	unprognostic (7.17e-2)	unprognostic (4.64e-2)	unprognostic (1.33e-1)	unprognostic (3.31e-2)	unprognostic (2.17e-1)	prognostic unfavourable (3.50e-8)	unprognostic (1.32e-1)	unprognostic (4.02e-2)	unprognostic (1.52e-2)	unprognostic (4.60e-2)
NRM	Q8IXM6	unprognostic (2.09e-1)	unprognostic (6.35e-2)	unprognostic (1.01e-1)	unprognostic (1.21e-1)	unprognostic (1.71e-1)	unprognostic (2.32e-2)	unprognostic (3.13e-3)	unprognostic (1.30e-1)	unprognostic (8.44e-2)	unprognostic (1.32e-2)	unprognostic (2.87e-2)	unprognostic (2.44e-1)	prognostic unfavourable (3.52e-8)	unprognostic (3.95e-2)	unprognostic (1.71e-1)	unprognostic (1.02e-1)	unprognostic (1.51e-1)
IL34	Q6ZMJ4	unprognostic (3.76e-3)	prognostic favourable (7.41e-4)	unprognostic (5.70e-2)	unprognostic (1.02e-1)	unprognostic (2.27e-2)	prognostic favourable (9.69e-4)	unprognostic (8.19e-2)	unprognostic (1.59e-3)	unprognostic (3.83e-2)	unprognostic (6.11e-3)	unprognostic (3.18e-2)	unprognostic (9.92e-2)	prognostic unfavourable (3.52e-8)	unprognostic (6.47e-3)	unprognostic (4.58e-2)	unprognostic (5.83e-2)	unprognostic (4.37e-2)
GJC1	P36383	unprognostic (1.84e-2)	unprognostic (2.04e-1)	unprognostic (2.13e-2)	unprognostic (1.35e-1)	unprognostic (1.75e-1)	unprognostic (2.22e-1)	unprognostic (7.02e-2)	unprognostic (4.01e-1)	unprognostic (1.60e-2)	unprognostic (1.11e-1)	unprognostic (3.02e-1)	unprognostic (1.64e-1)	prognostic unfavourable (3.55e-8)	unprognostic (5.18e-2)	unprognostic (2.20e-1)	unprognostic (8.52e-2)	prognostic unfavourable (7.83e-4)
TMEM173	Q86WV6	unprognostic (1.45e-1)	unprognostic (4.10e-3)	unprognostic (1.29e-1)	unprognostic (2.23e-2)	unprognostic (2.70e-2)	unprognostic (1.71e-2)	unprognostic (7.66e-2)	unprognostic (2.77e-2)	unprognostic (6.30e-2)	unprognostic (1.01e-1)	unprognostic (5.69e-2)	unprognostic (1.30e-1)	prognostic unfavourable (3.59e-8)	unprognostic (9.18e-3)	unprognostic (4.14e-2)	unprognostic (4.45e-2)	unprognostic (1.34e-1)
KCTD15	Q96SI1	unprognostic (1.26e-2)	unprognostic (1.93e-1)	unprognostic (2.41e-1)	unprognostic (6.62e-3)	unprognostic (1.67e-2)	unprognostic (2.66e-2)	unprognostic (3.09e-2)	unprognostic (5.60e-2)	unprognostic (6.33e-2)	unprognostic (5.58e-2)	unprognostic (2.76e-1)	unprognostic (1.84e-1)	prognostic unfavourable (3.65e-8)	unprognostic (1.40e-1)	unprognostic (1.89e-3)	unprognostic (6.13e-2)	unprognostic (7.30e-2)
ARL4C	P56559	unprognostic (1.93e-1)	unprognostic (1.14e-1)	unprognostic (3.20e-3)	prognostic unfavourable (2.90e-7)	unprognostic (8.01e-3)	unprognostic (3.35e-2)	unprognostic (9.26e-2)	unprognostic (2.68e-2)	unprognostic (2.10e-1)	unprognostic (4.34e-2)	unprognostic (3.17e-3)	unprognostic (1.21e-1)	prognostic unfavourable (3.69e-8)	unprognostic (8.57e-2)	unprognostic (4.64e-2)	unprognostic (1.20e-1)	prognostic unfavourable (6.99e-5)
FAM193B	Q96PV7	unprognostic (6.58e-3)	unprognostic (1.07e-1)	unprognostic (8.95e-3)	unprognostic (2.94e-1)	unprognostic (1.81e-1)	unprognostic (1.15e-3)	unprognostic (4.07e-2)	unprognostic (1.48e-2)	unprognostic (1.91e-1)	unprognostic (2.24e-1)	unprognostic (1.71e-3)	unprognostic (2.78e-2)	prognostic unfavourable (3.71e-8)	unprognostic (1.08e-1)	unprognostic (1.35e-1)	unprognostic (3.15e-1)	prognostic favourable (1.30e-5)
PLEKHG2	Q9H7P9	unprognostic (3.55e-1)	unprognostic (6.73e-2)	prognostic unfavourable (3.53e-4)	unprognostic (3.97e-2)	unprognostic (1.54e-1)	unprognostic (1.41e-3)	unprognostic (1.24e-2)	unprognostic (4.48e-2)	unprognostic (1.39e-1)	unprognostic (8.09e-2)	unprognostic (2.10e-1)	unprognostic (4.99e-1)	prognostic unfavourable (3.79e-8)	unprognostic (8.01e-2)	unprognostic (3.90e-2)	unprognostic (7.52e-2)	unprognostic (1.63e-1)
SRM	P19623	unprognostic (4.97e-2)	unprognostic (1.55e-1)	unprognostic (1.80e-1)	unprognostic (2.52e-2)	unprognostic (1.75e-1)	unprognostic (1.97e-1)	prognostic unfavourable (2.25e-5)	unprognostic (2.11e-2)	unprognostic (2.44e-1)	unprognostic (3.58e-2)	unprognostic (3.01e-1)	unprognostic (3.45e-1)	prognostic unfavourable (3.80e-8)	unprognostic (1.74e-2)	unprognostic (8.98e-3)	unprognostic (1.36e-1)	unprognostic (2.98e-2)
S100A10	P60903	unprognostic (2.13e-1)	unprognostic (1.51e-3)	unprognostic (1.01e-1)	unprognostic (3.15e-1)	unprognostic (6.20e-2)	prognostic unfavourable (3.33e-4)	prognostic unfavourable (1.00e-4)	prognostic unfavourable (2.66e-5)	unprognostic (1.09e-2)	unprognostic (9.48e-2)	prognostic unfavourable (3.88e-4)	unprognostic (1.36e-1)	prognostic unfavourable (3.80e-8)	unprognostic (1.09e-1)	unprognostic (1.50e-1)	unprognostic (1.33e-1)	prognostic unfavourable (3.84e-4)
ANP32E	Q9BTT0	unprognostic (1.04e-1)	unprognostic (2.40e-1)	unprognostic (2.51e-1)	unprognostic (8.95e-2)	unprognostic (1.69e-2)	unprognostic (1.47e-3)	prognostic unfavourable (4.50e-5)	unprognostic (1.64e-1)	unprognostic (6.58e-2)	unprognostic (3.91e-2)	unprognostic (7.73e-3)	unprognostic (2.47e-1)	prognostic unfavourable (3.82e-8)	unprognostic (1.76e-2)	unprognostic (1.60e-1)	unprognostic (1.77e-1)	unprognostic (3.52e-1)
HK3	P52790	unprognostic (4.22e-2)	unprognostic (4.07e-2)	unprognostic (1.23e-1)	unprognostic (8.63e-2)	unprognostic (2.02e-2)	unprognostic (1.39e-1)	unprognostic (8.69e-2)	unprognostic (2.11e-1)	unprognostic (5.37e-2)	unprognostic (1.39e-1)	unprognostic (1.96e-2)	unprognostic (3.82e-1)	prognostic unfavourable (3.84e-8)	unprognostic (7.02e-2)	unprognostic (6.01e-3)	unprognostic (1.46e-1)	unprognostic (5.42e-2)
EFEMP1	Q12805	unprognostic (8.21e-2)	unprognostic (7.68e-2)	unprognostic (9.01e-3)	prognostic unfavourable (4.72e-4)	unprognostic (3.43e-2)	unprognostic (1.73e-2)	unprognostic (4.86e-2)	unprognostic (1.38e-1)	unprognostic (3.46e-1)	unprognostic (9.07e-2)	unprognostic (1.55e-2)	unprognostic (1.50e-1)	prognostic unfavourable (3.89e-8)	unprognostic (3.15e-3)	unprognostic (4.94e-2)	unprognostic (3.09e-1)	prognostic unfavourable (6.68e-5)
PFKFB4	Q16877	unprognostic (7.60e-2)	prognostic unfavourable (3.04e-4)	unprognostic (1.01e-1)	unprognostic (1.19e-1)	unprognostic (3.90e-3)	unprognostic (7.96e-2)	unprognostic (1.72e-6)	unprognostic (1.65e-1)	unprognostic (3.75e-2)	unprognostic (6.78e-2)	unprognostic (3.78e-2)	unprognostic (7.13e-2)	prognostic unfavourable (3.91e-8)	unprognostic (2.04e-1)	unprognostic (6.28e-2)	unprognostic (2.43e-3)	unprognostic (3.35e-2)
CHMP4A	Q9BY43	unprognostic (4.33e-3)	unprognostic (3.76e-2)	unprognostic (4.29e-2)	unprognostic (5.45e-2)	unprognostic (4.29e-1)	unprognostic (1.25e-1)	unprognostic (1.74e-4)	unprognostic (2.02e-3)	unprognostic (9.61e-2)	unprognostic (1.76e-2)	unprognostic (1.44e-2)	unprognostic (1.57e-1)	prognostic unfavourable (3.91e-8)	unprognostic (3.30e-1)	unprognostic (3.42e-1)	unprognostic (7.37e-2)	unprognostic (6.90e-2)
LOX	P28300	unprognostic (5.10e-2)	unprognostic (1.03e-2)	unprognostic (6.99e-3)	unprognostic (3.64e-2)	unprognostic (9.86e-3)	unprognostic (1.91e-1)	prognostic unfavourable (7.38e-4)	unprognostic (2.42e-3)	unprognostic (3.06e-3)	unprognostic (8.92e-2)	unprognostic (3.21e-3)	unprognostic (1.91e-1)	prognostic unfavourable (3.93e-8)	unprognostic (1.11e-3)	unprognostic (9.92e-2)	unprognostic (4.31e-2)	prognostic unfavourable (3.32e-4)
RACGAP1	Q9H0H5	prognostic unfavourable (1.51e-4)	unprognostic (1.91e-1)	unprognostic (3.74e-3)	unprognostic (1.53e-2)	unprognostic (1.58e-1)	unprognostic (4.82e-2)	prognostic unfavourable (1.86e-6)	unprognostic (1.15e-3)	unprognostic (3.07e-3)	unprognostic (5.31e-2)	prognostic unfavourable (4.12e-6)	unprognostic (5.56e-2)	prognostic unfavourable (3.98e-8)	unprognostic (3.13e-2)	unprognostic (4.94e-1)	unprognostic (6.16e-2)	unprognostic (2.15e-1)
RCC2	Q9P258	unprognostic (2.50e-2)	prognostic favourable (3.31e-4)	unprognostic (9.91e-2)	unprognostic (1.72e-1)	unprognostic (2.74e-1)	unprognostic (1.66e-1)	prognostic unfavourable (3.42e-8)	unprognostic (3.05e-2)	prognostic unfavourable (1.30e-4)	unprognostic (1.73e-1)	unprognostic (1.31e-2)	unprognostic (2.27e-1)	prognostic unfavourable (4.03e-8)	unprognostic (6.81e-3)	unprognostic (2.09e-1)	unprognostic (9.44e-2)	unprognostic (4.41e-2)
DGKD	Q16760	unprognostic (1.84e-1)	unprognostic (2.19e-2)	unprognostic (7.76e-3)	unprognostic (1.92e-2)	unprognostic (5.69e-2)	unprognostic (6.24e-2)	prognostic unfavourable (1.69e-5)	unprognostic (2.25e-1)	unprognostic (1.17e-3)	unprognostic (6.03e-2)	unprognostic (5.76e-2)	unprognostic (1.00e-1)	prognostic unfavourable (4.07e-8)	unprognostic (1.78e-1)	unprognostic (7.18e-2)	unprognostic (1.22e-1)	unprognostic (5.94e-3)
POLA2	Q14181	unprognostic (2.28e-1)	prognostic favourable (4.61e-4)	unprognostic (1.67e-2)	unprognostic (7.44e-2)	unprognostic (5.20e-2)	unprognostic (3.18e-2)	prognostic unfavourable (2.11e-6)	unprognostic (1.14e-1)	unprognostic (2.87e-2)	unprognostic (1.15e-2)	unprognostic (4.05e-2)	unprognostic (1.83e-1)	prognostic unfavourable (4.09e-8)	unprognostic (1.60e-3)	unprognostic (8.26e-2)	unprognostic (8.16e-2)	unprognostic (6.25e-3)
KIZ	Q2M2Z5	unprognostic (1.78e-1)	unprognostic (1.77e-2)	unprognostic (1.56e-1)	prognostic favourable (4.45e-4)	unprognostic (2.05e-2)	unprognostic (5.71e-2)	unprognostic (1.90e-1)	unprognostic (9.71e-3)	unprognostic (3.68e-2)	unprognostic (1.44e-2)	unprognostic (1.43e-3)	unprognostic (1.64e-1)	prognostic unfavourable (4.11e-8)	unprognostic (4.82e-2)	unprognostic (2.20e-1)	unprognostic (4.94e-2)	unprognostic (2.12e-1)
MRTO4	Q9UKD2	unprognostic (3.99e-1)	unprognostic (1.75e-1)	unprognostic (2.18e-2)	unprognostic (2.94e-1)	unprognostic (4.12e-1)	unprognostic (4.22e-2)	prognostic unfavourable (1.56e-8)	unprognostic (7.46e-2)	unprognostic (5.58e-2)	unprognostic (2.61e-2)	unprognostic (2.69e-2)	unprognostic (1.09e-1)	prognostic unfavourable (4.11e-8)	unprognostic (5.87e-2)	unprognostic (1.16e-1)	unprognostic (2.50e-1)	unprognostic (3.23e-2)
GABRD	O14764	unprognostic (4.28e-2)	unprognostic (1.90e-1)	unprognostic (5.95e-8)	unprognostic (6.34e-3)	unprognostic (2.66e-3)	unprognostic (1.04e-2)	unprognostic (3.44e-3)	unprognostic (2.14e-1)	unprognostic (4.53e-2)	unprognostic (1.12e-1)	unprognostic (3.77e-2)	unprognostic (1.99e-1)	prognostic unfavourable (4.12e-8)	unprognostic (1.72e-1)	unprognostic (1.76e-1)	unprognostic (2.77e-1)	unprognostic (5.16e-2)
HAUS5	O94927	unprognostic (9.24e-3)	prognostic favourable (7.68e-4)	unprognostic (4.18e-2)	prognostic unfavourable (2.01e-4)	unprognostic (1.71e-1)	unprognostic (1.24e-3)	prognostic unfavourable (2.77e-6)	unprognostic (2.64e-2)	unprognostic (3.24e-2)	unprognostic (1.00e-1)	unprognostic (1.65e-2)	unprognostic (1.04e-2)	prognostic unfavourable (4.15e-8)	unprognostic (2.09e-3)	unprognostic (1.08e-1)	unprognostic (1.91e-1)	unprognostic (1.22e-1)
STC2	O76061	prognostic favourable (7.40e-5)	unprognostic (2.40e-2)	unprognostic (9.03e-3)	unprognostic (1.21e-1)	unprognostic (1.89e-3)	prognostic unfavourable (1.76e-6)	prognostic unfavourable (3.07e-5)	unprognostic (5.28e-3)	unprognostic (6.12e-3)	unprognostic (1.53e-1)	unprognostic (2.13e-1)	unprognostic (3.19e-1)	prognostic unfavourable (4.17e-8)	prognostic unfavourable (7.57e-4)	unprognostic (8.56e-2)	unprognostic (5.06e-2)	unprognostic (7.93e-3)
ZNF207	O43670	unprognostic (8.40e-3)	unprognostic (1.84e-1)	prognostic favourable (2.81e-4)	unprognostic (7.57e-2)	unprognostic (2.44e-1)	unprognostic (1.18e-1)	prognostic unfavourable (7.30e-8)	unprognostic (2.68e-1)	unprognostic (4.75e-3)	unprognostic (8.53e-2)	unprognostic (5.18e-2)	unprognostic (1.01e-1)	prognostic unfavourable (4.17e-8)	unprognostic (1.28e-2)	unprognostic (2.06e-1)	unprognostic (1.25e-1)	unprognostic (1.04e-1)
BTBD19	C9JJ37	unprognostic (4.69e-2)	unprognostic (8.74e-3)	unprognostic (1.82e-3)	unprognostic (1.20e-4)	unprognostic (5.32e-2)	unprognostic (3.80e-2)	unprognostic (1.11e-2)	unprognostic (1.20e-1)	unprognostic (3.70e-1)	unprognostic (1.53e-2)	unprognostic (2.76e-2)	unprognostic (1.92e-1)	prognostic unfavourable (4.18e-8)	unprognostic (2.20e-3)	unprognostic (2.78e-2)	unprognostic (8.29e-2)	unprognostic (1.70e-1)
FMNL1	O95466	unprognostic (1.90e-2)	unprognostic (1.37e-1)	unprognostic (2.07e-2)	unprognostic (8.60e-2)	unprognostic (1.95e-2)	unprognostic (1.24e-2)	unprognostic (2.01e-1)	unprognostic (1.58e-1)	unprognostic (5.44e-2)	unprognostic (6.06e-2)	unprognostic (2.37e-1)	unprognostic (4.07e-1)	prognostic unfavourable (4.23e-8)	unprognostic (1.29e-1)	unprognostic (3.01e-2)	unprognostic (3.46e-2)	unprognostic (2.16e-1)
ARID5A	Q03989	prognostic favourable (2.05e-6)	unprognostic (1.08e-3)	unprognostic (1.69e-2)	unprognostic (3.89e-3)	unprognostic (1.90e-2)	unprognostic (3.38e-2)	unprognostic (3.03e-1)	unprognostic (1.17e-1)	unprognostic (1.24e-3)	unprognostic (2.46e-1)	unprognostic (1.56e-3)	unprognostic (1.17e-1)	prognostic unfavourable (4.24e-8)	unprognostic (2.74e-2)	unprognostic (9.79e-2)	unprognostic (1.06e-1)	unprognostic (5.13e-2)
ARRDC3	Q96B67	unprognostic (2.28e-1)	unprognostic (2.24e-1)	unprognostic (9.42e-2)	unprognostic (1.28e-1)	unprognostic (4.07e-2)	unprognostic (7.36e-2)	unprognostic (1.57e-3)	unprognostic (4.91e-2)	unprognostic (2.44e-1)	prognostic unfavourable (3.30e-4)	unprognostic (1.50e-1)	unprognostic (1.05e-1)	prognostic unfavourable (4.25e-8)	prognostic unfavourable (2.26e-4)	unprognostic (1.34e-1)	unprognostic (5.74e-2)	unprognostic (2.15e-1)
SSC5D	A1L4H1	unprognostic (1.23e-1)	unprognostic (1.29e-1)	unprognostic (1.78e-2)	unprognostic (1.28e-2)	unprognostic (4.55e-2)	unprognostic (6.65e-2)	unprognostic (3.68e-1)	unprognostic (1.16e-1)	unprognostic (2.85e-2)	unprognostic (1.34e-3)	unprognostic (1.40e-1)	unprognostic (6.20e-3)	prognostic unfavourable (4.26e-8)	unprognostic (7.73e-3)	unprognostic (1.51e-1)	unprognostic (1.20e-2)	unprognostic (2.21e-3)
INTS6L	Q5JSJ4	unprognostic (2.03e-1)	prognostic favourable (5.39e-4)	unprognostic (1.96e-1)	unprognostic (7.42e-2)	unprognostic (2.89e-2)	unprognostic (1.43e-3)	unprognostic (1.43e-1)	unprognostic (1.27e-1)	unprognostic (3.75e-2)	unprognostic (7.33e-3)	prognostic favourable (5.54e-4)	unprognostic (1.05e-2)	prognostic unfavourable (4.28e-8)	unprognostic (2.87e-1)	unprognostic (1.81e-1)	unprognostic (5.37e-2)	prognostic favourable (2.94e-4)
OLFML1	Q6UWY5	unprognostic (3.05e-1)	unprognostic (5.35e-2)	unprognostic (1.52e-1)	unprognostic (3.80e-2)	unprognostic (5.32e-1)	unprognostic (1.82e-3)	unprognostic (1.36e-1)	unprognostic (1.16e-1)	unprognostic (7.33e-2)	unprognostic (1.37e-2)	unprognostic (2.30e-1)	unprognostic (1.05e-2)	prognostic unfavourable (4.28e-8)	unprognostic (3.13e-3)	unprognostic (2.00e-2)	unprognostic (3.34e-2)	unprognostic (8.72e-3)
PON2	Q15165	unprognostic (1.43e-1)	prognostic unfavourable (1.43e-5)	unprognostic (3.80e-1)	unprognostic (4.14e-1)	unprognostic (3.89e-2)	unprognostic (3.77e-3)	unprognostic (1.19e-3)	unprognostic (9.87e-3)	unprognostic (9.54e-2)	unprognostic (2.53e-1)	unprognostic (1.58e-2)	unprognostic (2.80e-1)	prognostic unfavourable (4.30e-8)	unprognostic (1.40e-1)	unprognostic (6.43e-2)	unprognostic (7.99e-3)	unprognostic (2.56e-1)
NFKBIZ	Q9BYH8	unprognostic (2.20e-2)	unprognostic (1.11e-2)	unprognostic (6.76e-2)	unprognostic (1.91e-1)	unprognostic (1.54e-2)	unprognostic (1.68e-2)	unprognostic (1.62e-2)	unprognostic (1.62e-1)	unprognostic (9.22e-2)	unprognostic (5.96e-2)	unprognostic (1.40e-1)	unprognostic (8.82e-2)	prognostic unfavourable (4.30e-8)	unprognostic (2.69e-1)	unprognostic (8.90e-2)	unprognostic (3.30e-1)	unprognostic (8.52e-3)
PFDN2	Q9UHV9	unprognostic (2.56e-1)	unprognostic (2.76e-2)	unprognostic (1.01e-2)	unprognostic (2.62e-1)	unprognostic (1.36e-1)	prognostic unfavourable (9.10e-4)	unprognostic (9.59e-3)	unprognostic (1.00e-1)	unprognostic (1.45e-1)	unprognostic (1.50e-2)	unprognostic (8.46e-2)	unprognostic (5.61e-2)	prognostic unfavourable (4.39e-8)	unprognostic (1.01e-1)	unprognostic (1.55e-1)	unprognostic (1.52e-1)	unprognostic (3.66e-2)
ITIH3	Q06033	unprognostic (2.07e-2)	unprognostic (5.79e-2)	unprognostic (1.89e-1)	unprognostic (3.30e-4)	unprognostic (4.28e-2)	unprognostic (3.26e-2)	unprognostic (5.97e-2)	unprognostic (6.07e-2)	unprognostic (1.49e-1)	unprognostic (7.05e-2)	unprognostic (1.04e-1)	unprognostic (3.19e-1)	prognostic unfavourable (4.49e-8)	unprognostic (2.09e-4)	unprognostic (1.70e-1)	unprognostic (2.55e-2)	unprognostic (9.31e-2)
UFD1	Q92890	unprognostic (2.52e-1)	unprognostic (5.41e-2)	unprognostic (1.95e-3)	unprognostic (7.61e-2)	unprognostic (3.50e-2)	unprognostic (2.70e-2)	prognostic unfavourable (2.59e-4)	unprognostic (9.79e-2)	unprognostic (1.60e-1)	unprognostic (1.02e-3)	unprognostic (8.82e-2)	unprognostic (1.73e-2)	prognostic unfavourable (4.50e-8)	unprognostic (1.45e-1)	unprognostic (1.08e-1)	unprognostic (1.46e-1)	unprognostic (1.30e-2)
MTCP1	P56278	unprognostic (2.42e-2)	unprognostic (2.07e-2)	unprognostic (1.14e-1)	unprognostic (6.29e-3)	unprognostic (8.30e-2)	unprognostic (4.10e-1)	unprognostic (2.40e-5)	unprognostic (9.30e-2)	unprognostic (1.17e-1)	unprognostic (4.94e-2)	unprognostic (5.72e-2)	unprognostic (1.15e-2)	prognostic unfavourable (4.52e-8)	unprognostic (1.55e-3)	unprognostic (1.06e-2)	unprognostic (1.39e-2)	unprognostic (1.75e-2)
ETV6	P41212	unprognostic (4.03e-3)	unprognostic (3.08e-2)	unprognostic (7.54e-3)	unprognostic (2.60e-1)	unprognostic (2.07e-1)	unprognostic (1.35e-3)	unprognostic (2.74e-2)	unprognostic (4.02e-2)	unprognostic (3.16e-1)	unprognostic (9.46e-2)	prognostic unfavourable (9.38e-5)	unprognostic (1.15e-1)	prognostic unfavourable (4.66e-8)	unprognostic (1.33e-2)	unprognostic (5.99e-2)	unprognostic (8.92e-2)	prognostic favourable (1.54e-5)
SNAI2	O43623	unprognostic (3.52e-2)	unprognostic (3.95e-1)	unprognostic (1.55e-1)	unprognostic (1.89e-2)	unprognostic (3.78e-2)	unprognostic (1.74e-2)	unprognostic (1.79e-1)	unprognostic (1.04e-2)	unprognostic (4.24e-2)	unprognostic (1.92e-2)	prognostic unfavourable (7.83e-4)	unprognostic (2.38e-1)	prognostic unfavourable (4.69e-8)	unprognostic (1.65e-3)	unprognostic (3.76e-2)	unprognostic (1.87e-1)	prognostic unfavourable (7.16e-4)
PTGIS	Q16647	unprognostic (7.68e-2)	unprognostic (1.90e-1)	unprognostic (5.09e-3)	unprognostic (1.38e-2)	unprognostic (1.80e-2)	unprognostic (1.74e-1)	unprognostic (1.21e-2)	unprognostic (1.29e-2)	unprognostic (1.25e-1)	unprognostic (4.02e-2)	unprognostic (2.45e-2)	unprognostic (5.22e-2)	prognostic unfavourable (4.74e-8)	unprognostic (2.29e-2)	unprognostic (7.61e-2)	unprognostic (4.89e-3)	prognostic unfavourable (9.99e-5)
TOR3A	Q9H497	unprognostic (5.55e-2)	unprognostic (6.52e-2)	unprognostic (2.80e-1)	unprognostic (1.59e-2)	unprognostic (1.10e-1)	unprognostic (3.90e-1)	unprognostic (8.82e-3)	unprognostic (6.47e-2)	unprognostic (2.02e-2)	unprognostic (4.87e-2)	unprognostic (2.27e-1)	unprognostic (3.99e-1)	prognostic unfavourable (4.78e-8)	unprognostic (4.26e-2)	unprognostic (2.27e-1)	unprognostic (3.58e-1)	unprognostic (1.35e-1)
FCGR1A	P12314	unprognostic (5.27e-2)	unprognostic (2.89e-2)	unprognostic (2.34e-2)	unprognostic (7.97e-2)	unprognostic (8.44e-3)	unprognostic (1.73e-1)	unprognostic (7.69e-2)	unprognostic (1.04e-1)	unprognostic (1.88e-2)	unprognostic (1.72e-1)	unprognostic (1.98e-2)	unprognostic (6.18e-2)	prognostic unfavourable (4.83e-8)	unprognostic (1.28e-1)	unprognostic (4.51e-2)	unprognostic (9.99e-2)	unprognostic (9.03e-2)
SHMT2	P34897	prognostic unfavourable (8.37e-5)	unprognostic (1.24e-1)	unprognostic (1.90e-1)	unprognostic (2.65e-2)	unprognostic (1.65e-1)	unprognostic (4.97e-2)	unprognostic (1.58e-2)	unprognostic (9.83e-2)	unprognostic (1.11e-2)	unprognostic (2.67e-2)	unprognostic (4.00e-2)	unprognostic (3.19e-2)	prognostic unfavourable (4.84e-8)	unprognostic (3.05e-1)	unprognostic (2.30e-1)	unprognostic (2.72e-1)	unprognostic (4.74e-2)
ISG20	Q96AZ6	unprognostic (2.55e-3)	unprognostic (1.19e-3)	unprognostic (2.00e-2)	unprognostic (1.32e-1)	prognostic unfavourable (6.51e-5)	unprognostic (1.55e-2)	unprognostic (1.46e-1)	unprognostic (4.54e-2)	unprognostic (1.35e-3)	prognostic favourable (1.85e-5)	unprognostic (5.60e-2)	unprognostic (2.07e-1)	prognostic unfavourable (4.86e-8)	unprognostic (1.04e-1)	unprognostic (4.69e-2)	unprognostic (3.39e-1)	unprognostic (1.58e-2)
ISLR	O14498	unprognostic (2.58e-1)	unprognostic (1.36e-2)	unprognostic (3.54e-2)	unprognostic (3.06e-2)	unprognostic (1.30e-1)	unprognostic (1.76e-2)	unprognostic (1.51e-1)	unprognostic (1.21e-1)	unprognostic (6.76e-3)	unprognostic (1.16e-2)	unprognostic (6.81e-2)	unprognostic (8.93e-3)	prognostic unfavourable (4.89e-8)	unprognostic (1.64e-2)	unprognostic (3.42e-2)	unprognostic (2.28e-1)	unprognostic (9.86e-3)
MGAT3	Q09327	unprognostic (1.41e-3)	unprognostic (5.98e-3)	unprognostic (4.79e-2)	unprognostic (2.96e-1)	unprognostic (2.76e-1)	unprognostic (5.71e-3)	unprognostic (8.92e-2)	unprognostic (2.17e-1)	unprognostic (4.35e-3)	unprognostic (6.77e-2)	unprognostic (8.12e-3)	unprognostic (8.74e-2)	prognostic unfavourable (5.04e-8)	unprognostic (6.73e-2)	unprognostic (1.46e-1)	unprognostic (5.89e-2)	unprognostic (4.92e-2)
MAGOHB	Q96A72	unprognostic (1.16e-2)	unprognostic (4.94e-2)	unprognostic (2.71e-1)	unprognostic (1.98e-1)	unprognostic (1.51e-1)	unprognostic (2.50e-2)	unprognostic (3.42e-2)	unprognostic (6.27e-2)	unprognostic (8.57e-2)	prognostic favourable (5.56e-6)	unprognostic (1.02e-1)	unprognostic (1.68e-1)	prognostic unfavourable (5.04e-8)	prognostic favourable (6.50e-4)	unprognostic (1.61e-1)	unprognostic (3.33e-1)	unprognostic (6.03e-2)
